lor_nr,lor_name,bezirk,prognoseraum,bezirksregion,wert,rang,schicht,dezwert,kind_wand,arb_los,alg_eins,hartz4,jug_hartz4,grundsich,alt_arm,,fruehtod,raucher_krebs,,,
02040701,Andreasviertel,Friedrichshain-Kreuzberg,Friedrichshain West,Karl-Marx-Allee-Süd,"-0,0649",232,4,"55,6","2,88","10,32","2,66","7,66","3,90","0,85","2,15",,"0,080","0,034",,,
02040702,Weberwiese,Friedrichshain-Kreuzberg,Friedrichshain West,Karl-Marx-Allee-Süd,"0,2619",181,4,"43,4","-7,08","8,81","2,15","6,66","3,69","0,70","2,79",,"0,067","0,033",,,
02040703,Wriezener Bahnh./Entwickl.-geb.,Friedrichshain-Kreuzberg,Friedrichshain West,Karl-Marx-Allee-Süd,x,x,x,x,x,x,x,x,x,x,x,,x,x,,,
02050601,Hausburgviertel,Friedrichshain-Kreuzberg,Friedrichshain Ost,Frankfurter Allee Nord,"-0,5792",299,6,"71,7","-8,08","10,89","2,52","8,37","4,68","0,46","6,81",,"0,088","0,051",,,
02050602,Samariterviertel,Friedrichshain-Kreuzberg,Friedrichshain Ost,Frankfurter Allee Nord,"-0,5414",293,5,"70,3","-8,20","10,37","2,24","8,13","4,67","0,60","6,77",,"0,111","0,047",,,
02050801,Traveplatz,Friedrichshain-Kreuzberg,Friedrichshain Ost,Frankfurter Allee Süd,"-0,6672",309,6,"74,1","-5,68","11,53","2,43","9,10","5,06","0,58","5,79",,"0,102","0,044",,,
02050802,Boxhagener Platz,Friedrichshain-Kreuzberg,Friedrichshain Ost,Frankfurter Allee Süd,"-0,4389",283,5,"67,9","-8,11","9,74","2,17","7,57","4,86","0,29","7,29",,"0,128","0,058",,,
02050803,Stralauer Kiez,Friedrichshain-Kreuzberg,Friedrichshain Ost,Frankfurter Allee Süd,"-0,5460",295,5,"70,7","-10,79","11,33","2,68","8,65","4,75","0,79","4,18",,"0,103","0,037",,,
02050804,Stralauer Halbinsel,Friedrichshain-Kreuzberg,Friedrichshain Ost,Frankfurter Allee Süd,"0,9921",81,2,"19,4","0,00","5,39","2,13","3,26","2,80","0,24","1,42",,"0,048","0,033",,,
03010101,Bucher Forst,Pankow,Buch,Buch,"-0,0014",221,4,"53,0","0,84","12,29","2,98","9,31","10,22","1,28","1,57",,"0,092","0,016",,,
03010102,Buch,Pankow,Buch,Buch,"-0,6897",311,6,"74,6","-0,91","14,83","3,32","11,51","10,08","0,87","1,10",,"0,068","0,043",,,
03010104,Lietzengraben,Pankow,Buch,Buch,x,x,x,x,x,x,x,x,x,x,x,,x,x,,,
03020203,Blankenfelde,Pankow,Nördliches Pankow,Blankenfelde / Niederschönhausen,"0,5288",132,3,"31,7","10,00","8,46","4,07","4,38","1,60","0,16","0,00",,"0,050","0,041",,,
03020209,Niederschönhausen,Pankow,Nördliches Pankow,Blankenfelde / Niederschönhausen,"0,7021",114,2,"27,3","0,12","7,49","2,31","5,18","2,62","0,41","1,12",,"0,061","0,037",,,
03020210,Herthaplatz,Pankow,Nördliches Pankow,Blankenfelde / Niederschönhausen,"0,5761",128,3,"30,7","-1,21","8,18","2,19","5,99","4,08","0,79","2,12",,"0,051","0,024",,,
03020307,Buchholz,Pankow,Nördliches Weißensee,Buchholz,"0,1313",199,4,"47,7","3,85","9,59","2,89","6,70","2,87","0,56","3,13",,"0,069","0,038",,,
03030405,Karow-Nord,Pankow,Nördliches Weißensee,Karow,"0,0036",220,4,"52,8","7,30","10,45","2,79","7,65","5,18","0,56","2,50",,"0,044","0,036",,,
03030406,Alt-Karow,Pankow,Nördliches Weißensee,Karow,"1,3670",41,1,"9,8","1,37","4,65","2,27","2,38","1,05","0,24","0,46",,"0,049","0,029",,,
03030711,Blankenburg,Pankow,Nördliches Weißensee,Blankenburg / Heinersdorf / Märchenland,"1,3013",45,1,"10,8","3,50","5,02","2,62","2,40","1,22","0,23","0,25",,"0,058","0,031",,,
03030715,Heinersdorf,Pankow,Nördliches Weißensee,Blankenburg / Heinersdorf / Märchenland,"1,0241",75,2,"18,0","4,76","6,65","3,09","3,56","2,61","0,43","1,03",,"0,053","0,036",,,
03030716,Märchenland,Pankow,Nördliches Weißensee,Blankenburg / Heinersdorf / Märchenland,"1,4579",27,1,"6,5","4,17","6,83","2,89","3,94","0,00","0,14","0,00",,"0,042","0,011",,,
03040508,Rosenthal,Pankow,Südliches Pankow,Schönholz / Wilhelmsruh / Rosenthal,"0,7639",105,2,"25,2","8,84","7,76","3,12","4,63","3,05","0,23","1,31",,"0,035","0,030",,,
